trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
113,False,"{'a': 0.05, 'e': 0.05930865682943872}",25,7,28.007631276853818,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.05, 'e': 0.05784432087483846}",30,11,24.057283491546755,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
115,False,"{'a': 0.05, 'e': 0.05641613950377734}",20,10,17.181765779990503,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.05, 'e': 0.05502322005640721}",20,16,8.554388938781443,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.05, 'e': 0.053664691912730114}",30,14,33.11647158617048,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.05, 'e': 0.05233970594843238}",30,5,41.24405451423949,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.05, 'e': 0.05104743400415439}",20,3,23.76457650846145,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.05, 'e': 0.049787068367863944}",20,9,19.922941777885768,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.05, 'e': 0.04855782127000995}",20,2,24.877520869550956,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.05, 'e': 0.047358924391140915}",20,14,12.457623466614919,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.05, 'e': 0.0461896283816801}",25,2,38.08460667841477,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.05, 'e': 0.0450492023935578}",30,12,28.736582341106,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.05, 'e': 0.04393693362340741}",25,0,35.98508145967161,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
126,False,"{'a': 0.05, 'e': 0.042852126867040166}",20,0,25.056849753542004,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
127,False,"{'a': 0.05, 'e': 0.041794104084919896}",25,8,-10.165364200894066,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
128,False,"{'a': 0.05, 'e': 0.04076220397836621}",20,0,24.21045780765746,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
129,False,"{'a': 0.05, 'e': 0.0397557815762213}",20,4,18.50596555015342,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.05, 'e': 0.03877420783172201}",30,15,23.925283259322782,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.05, 'e': 0.03781686922932507}",25,2,25.65428597033302,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
132,False,"{'a': 0.05, 'e': 0.036883167401239994}",25,3,37.08077386755053,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.05, 'e': 0.035972518753429654}",20,10,20.147861407297135,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.05, 'e': 0.03508435410084502}",25,17,6.092552242454399,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.05, 'e': 0.03421811831166603}",25,6,35.05534646547579,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.05, 'e': 0.033373269960326066}",20,3,25.229737577878254,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.05, 'e': 0.03254928098910342}",25,5,32.47449836775869,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.05, 'e': 0.03174563637806794}",30,7,37.079259066947955,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.05, 'e': 0.03096183382317688}",20,11,17.65225665607923,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.05, 'e': 0.030197383422318504}",20,10,17.326651177083267,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.05, 'e': 0.02945180736910728}",20,0,28.817862493050303,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
142,False,"{'a': 0.05, 'e': 0.028724639654239423}",20,0,28.586909647126387,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
143,False,"{'a': 0.05, 'e': 0.028015425774221808}",20,0,-10.429429775104305,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
144,False,"{'a': 0.05, 'e': 0.02732372244729256}",20,14,12.677895569244336,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.05, 'e': 0.026649097336355485}",35,7,-22.461612237162537,"{0: 26, 1: 0, 2: 0, 3: 1, 4: 1}",1
146,False,"{'a': 0.05, 'e': 0.025991128778755333}",25,2,26.601383363560764,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.05, 'e': 0.025349405522724935}",25,11,27.886176703977394,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.05, 'e': 0.024723526470339385}",20,8,26.29107670289444,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.05, 'e': 0.02411310042681686}",25,11,22.79750287761298,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.05, 'e': 0.023517745856009107}",25,4,37.6103219907069,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.05, 'e': 0.02293709064192892}",25,10,27.17429705954292,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.05, 'e': 0.02237077185616559}",30,0,45.421969636984,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
153,False,"{'a': 0.05, 'e': 0.021818435531042762}",30,8,35.70272683203472,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.05, 'e': 0.02127973643837717}",25,11,24.543530576257258,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.05, 'e': 0.020754337873699742}",20,13,14.193605964893303,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.05, 'e': 0.020241911445804384}",25,3,35.72170531599349,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.05, 'e': 0.019742136871492774}",20,13,14.015491674197019,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.05, 'e': 0.01925470177538692}",20,0,30.42342521333404,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
159,False,"{'a': 0.05, 'e': 0.0187793014946844}",20,8,14.338029844633812,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.05, 'e': 0.018315638888734182}",25,13,22.911851554402347,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.05, 'e': 0.017863424153314034}",25,10,29.16081790589008,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.05, 'e': 0.017422374639493515}",20,6,19.880930261109867,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.05, 'e': 0.016992214676969066}",20,5,29.77273188998833,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.05, 'e': 0.01657267540176124}",20,16,7.461786213123114,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.05, 'e': 0.016163494588165874}",25,13,17.231644216293446,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.05, 'e': 0.015764416484854486}",30,10,34.90688570468944,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.05, 'e': 0.015375191655021435}",20,10,18.255222023963217,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.05, 'e': 0.014995576820477703}",30,7,39.62858761718759,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.05, 'e': 0.01462533470959421}",25,18,12.192195901003348,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.05, 'e': 0.014264233908999256}",25,4,35.85949119347308,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.05, 'e': 0.013912048718937618}",25,0,34.81754009855734,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
172,False,"{'a': 0.05, 'e': 0.013568559012200934}",20,13,12.733827881024528,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.05, 'e': 0.013233550096540928}",20,10,19.37862388334256,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.05, 'e': 0.012906812580479862}",20,0,27.56571052979647,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
175,False,"{'a': 0.05, 'e': 0.012588142242433998}",20,10,17.740955911889692,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.05, 'e': 0.012277339903068438}",20,3,27.82058397311783,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.05, 'e': 0.011974211300803622}",30,21,16.940096660686486,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
