trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
62,False,"{'a': 0.4, 'e': 1.0}",20,0,-114.53594379307809,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
63,False,"{'a': 0.4, 'e': 1.0}",25,0,-140.3685248029444,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
64,False,"{'a': 0.4, 'e': 1.0}",20,0,-81.90771505401572,"{0: 12, 1: 2, 2: 3, 3: 3, 4: 0}",1
65,False,"{'a': 0.4, 'e': 1.0}",25,0,-154.04202067040632,"{0: 11, 1: 2, 2: 10, 3: 1, 4: 1}",0
66,False,"{'a': 0.4, 'e': 1.0}",25,0,-98.42242403104747,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
67,False,"{'a': 0.4, 'e': 1.0}",25,4,-224.66720002003777,"{0: 9, 1: 3, 2: 4, 3: 1, 4: 4}",1
68,False,"{'a': 0.4, 'e': 1.0}",25,0,-115.37997545948716,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
69,False,"{'a': 0.4, 'e': 1.0}",20,0,-31.323281185819372,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
70,False,"{'a': 0.4, 'e': 1.0}",20,0,-152.9753025138761,"{0: 9, 1: 4, 2: 4, 3: 1, 4: 2}",0
71,False,"{'a': 0.4, 'e': 1.0}",35,0,-151.15099676502118,"{0: 21, 1: 1, 2: 11, 3: 1, 4: 1}",0
72,False,"{'a': 0.4, 'e': 1.0}",20,0,-53.12775164593468,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
73,False,"{'a': 0.4, 'e': 1.0}",25,0,-80.02319657677403,"{0: 17, 1: 0, 2: 6, 3: 2, 4: 0}",0
74,False,"{'a': 0.4, 'e': 1.0}",25,0,-217.9507945047411,"{0: 15, 1: 1, 2: 3, 3: 2, 4: 4}",0
75,False,"{'a': 0.4, 'e': 1.0}",35,0,-192.7326170860274,"{0: 20, 1: 4, 2: 8, 3: 0, 4: 3}",0
76,False,"{'a': 0.4, 'e': 1.0}",25,17,2.7801538178058363,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
77,False,"{'a': 0.4, 'e': 1.0}",25,0,-128.50627370244825,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
78,False,"{'a': 0.4, 'e': 1.0}",25,0,-182.1928853983632,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
79,False,"{'a': 0.4, 'e': 1.0}",35,20,-21.913970787725393,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 0}",1
80,False,"{'a': 0.4, 'e': 1.0}",25,0,-221.50385715527037,"{0: 13, 1: 2, 2: 5, 3: 1, 4: 4}",0
81,False,"{'a': 0.4, 'e': 0.2592402606458915}",20,12,9.533727758592459,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.4, 'e': 0.2549553960265099}",30,6,-103.69232021072891,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 3}",1
83,False,"{'a': 0.4, 'e': 0.250741353989858}",25,11,8.377376572933176,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.4, 'e': 0.24659696394160643}",20,0,-101.93492724081013,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 3}",0
85,False,"{'a': 0.4, 'e': 0.24252107463564868}",30,16,13.995524743189044,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
86,False,"{'a': 0.4, 'e': 0.23851255385430242}",30,0,13.897829085258774,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",0
87,False,"{'a': 0.4, 'e': 0.2345702880937976}",35,22,21.70643638145667,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.4, 'e': 0.23069318225496283}",25,9,-2.632745519442948,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 0}",1
89,False,"{'a': 0.4, 'e': 0.22688015933902367}",20,8,0.9227429051721827,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
90,False,"{'a': 0.4, 'e': 0.22313016014842985}",25,3,33.83046309882063,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.4, 'e': 0.21944214299262663}",20,14,9.14093275843769,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.4, 'e': 0.21581508339868977}",20,13,-0.14751511841025433,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
93,False,"{'a': 0.4, 'e': 0.21224797382674304}",35,16,32.044766199673305,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.4, 'e': 0.20873982339007963}",20,3,18.07318762442482,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
95,False,"{'a': 0.4, 'e': 0.20528965757990927}",20,13,16.30843034303666,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.4, 'e': 0.20189651799465533}",25,8,31.48182330287533,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.4, 'e': 0.19855946207372607}",25,0,-43.4396891030401,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
98,False,"{'a': 0.4, 'e': 0.1952775628356857}",20,6,-17.789468109042506,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
99,False,"{'a': 0.4, 'e': 0.19204990862075408}",30,17,-19.24033323963588,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
100,False,"{'a': 0.4, 'e': 0.18887560283756183}",20,5,10.744593383976923,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
101,False,"{'a': 0.4, 'e': 0.18575376371409133}",25,16,-30.44371712980127,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 1}",1
102,False,"{'a': 0.4, 'e': 0.1826835240527346}",25,9,31.634873608990205,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.4, 'e': 0.17966403098939934}",25,3,-31.691992514356453,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 1}",1
104,False,"{'a': 0.4, 'e': 0.17669444575659674}",25,9,13.27489142368444,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
